ALB;Albany;-123.09375;44.65625;WILAL
BRI;Brilliant;-117.53125;49.40625;BRILL
COR;Corra Linn;-117.34375;49.46875;CORRA
DCD;Duncan;-116.96875;50.40625;DUNCA
LIB;Libby;-115.21875;48.53125;LIBBY
BFE;Bonners Ferry;-116.21875;48.71875;BONFE
BON;Bonneville;-121.96875;45.65625;BONNE
HOD;Hood River;-121.59375;45.65625;HOODR
JDA;John Day;-120.71875;45.71875;JDAYY
KLC;Klickitat;-121.21875;45.71875;KLIPI
MCN;McNary;-119.28125;45.90625;MCNAR
PEL;Pelton;-121.21875;44.71875;PELTO
ROU;Round Butte;-121.28125;44.59375;RNDBB
TDA;The Dalles;-121.09375;45.65625;DALLE
WHS;White Salmon;-121.53125;45.78125;WHSAL
WHT;White River - Wapinitia;-121.15625;45.21875;WHITE
WWA;Walla Walla;-118.65625;46.03125;WALST
ANA;Anatone;-116.96875;46.09375;ANATO
BRN;Brownlee;-116.90625;44.84375;BROWN
DWR;Dworshak;-116.21875;46.59375;DWORS
GAL;Galloway;-116.78125;44.28125;
HCD;Hells Canyon;-116.65625;45.28125;HCANY
IHR;Ice Harbor;-118.96875;46.21875;ICEHA
LGS;Little Goose;-118.03125;46.59375;LGOOS
LIM;Lime Point;-116.90625;46.03125;
LMN;Lower Monumental;-118.59375;46.53125;LMONU
LWG;Lower Granite;-117.46875;46.71875;LGRAN
ORO;Orofino;-116.15625;46.40625;CLEAR
OXB;Oxbox;-116.84375;44.96875;OXBOW
PLS;Palouse-Lower Snake;-116.90625;46.90625;PALHO
SPD;Spalding;-116.71875;46.46875;SPALD
TRY;Troy;-117.46875;45.90625;GROND
WEN;Grande Ronde;-118.15625;45.34375;GRAWA
WHB;White Bird;-116.34375;45.71875;SALMO
CHJ;Chief Joseph;-119.53125;48.09375;CHIEF
CHL;Chelan;-120.03125;47.84375;CHELA
GCL;Grand Coulee;-118.90625;47.96875;GCOUL
KET;Kettle;-118.21875;48.96875;KETTL
OKA;Okanagon in Canada;-119.53125;49.09375;OKAOL
PRD;Priest Rapids;-119.90625;46.78125;PRIRA
RIS;Rock Island;-120.21875;47.40625;RISLA
RRH;Rocky Reach;-120.21875;47.65625;ROCKY
WAN;Wanapum;-120.03125;47.03125;WANAP
WEL;Wells;-119.78125;48.09375;WELLS
YAK;Yakima;-119.65625;46.21875;YAKKI
ALF;Albeni Falls;-117.28125;48.53125;ALBEN
BDY;Boundary;-117.34375;48.90625;BOUND
BOX;Box;-117.34375;48.65625;BOXCA
CAB;Cabinet;-115.96875;48.09375;CABIN
CFM;Columbia Falls;-114.09375;48.46875;COLFA
HGH;Hungry Horse;-113.96875;48.28125;FLASF
KER;Kerr;-114.15625;47.71875;FLAPO
LCF;Lower Clark Fork;-114.96875;47.21875;CLARE
NOX;Noxon Rapids;-115.65625;47.84375;NOXON
PSL;Priest Lake;-116.84375;48.53125;PRSTL
SUV;Sullivan Lake;-117.28125;48.84375;
TOM;Thompson Falls;-115.28125;47.59375;THOMF
WAT;Waneta;-117.53125;49.03125;WANET
COE;Coeur D'Alene;-116.78125;47.59375;CDALK
LLK;Long Lake;-117.71875;47.8438;LLAKE
MON;Monroe Street;-117.34375;47.65625;SPOKA
NIN;Nine Mile;-117.53125;47.71875;
PFL;Post Falls;-116.90625;47.71875;PFALL
ARD;Hugh Keenleyside (Arrow);-117.90625;49.34375;ARROW
MCD;Mica;-118.53125;52.09375;MICAA
MUC;Murphy Creek;-117.65625;49.28125;COLUMBIA RIVER AT BIRCHBANK
RVC;Revelstoke;-118.21875;51.21875;REVEL
LOS;Lost Creek;-122.65625;42.65625;
ALD;Alder;-122.28125;46.78125;ALDER
CS2;Cushman 2;-123.21875;47.40625;
DIA;Diablo;-121.15625;48.71875;DIABL
GOR;Gorge;-121.21875;48.71875;GORGE
LAG;Lagrande;-122.28125;46.78125;LAGRA
MAY;Mayfield;-122.59375;46.53125;MAYFI
MER;Aerial (Merwin);-122.46875;45.96875;MERWI
MOS;Mossyrock;-122.40625;46.53125;MOSSY
PAK;Packwood Lake;-121.65625;46.59375;COWPA
ROS;Ross;-121.03125;48.71875;ROSSL
SHA;Lower Baker;-121.71875;48.59375;SHANN
SWF;Swift 1;-122.21875;46.03125;SWIFT
UBK;Upper Baker;-121.65625;48.65625;UPBAK
YAL;Yale;-122.34375;45.96875;YALEE
BLU;Blue River;-122.46875;44.21875;
CGR;Cougar;-122.21875;44.09375;MCKEN
COT;Cottage Grove;-123.03125;43.71875;
DET;Detroit;-122.21875;44.71875;SANNI
DEX;Dexter;-122.65625;43.84375;WILDE
DOR;Dorena;-122.96875;43.78125;ROCOT
FAL;Falls Creek;-122.65625;43.90625;
FOS;Foster;-122.59375;44.40625;SANFO
FRN;Fern Ridge;-123.28125;44.09375;TOMAL
GPR;Green Peter;-122.53125;44.46875;
HCR;Hills Creek;-122.40625;43.65625;WILLS
LEA;Leaburg;-122.59375;44.15625;
NFK;North Fork;-122.15625;45.15625;NFORK
OAK;Oak Grove;-122.09375;45.03125;
RML;River Mill;-122.34375;45.28125;RMILL
SLM;Salem;-123.03125;44.96875;WILSA
SMH;Smith R. Reservoir;-122.03125;44.28125;
SVN;T.W. Sullivan;-122.65625;45.40625;WILFA
TMY;Timothy Meadows;-121.96875;45.09375;
TRB;Trail Bridge;-122.03125;44.28125;
WAV;Walterville;-122.78125;44.09375;
AMFI;Snake River at Neeley American Falls Inflow;-112.90625;42.78125;AMERI
ANDI;SF Boise River at Anderson Ranch;-115.46875;43.34375;BOAND
